tabela,atributo,tipo,descricao,dominio,obrigatoriedade,linhagem
fato_vulnerabilidade,cve_id,texto,Identificador único da vulnerabilidade,Formato CVE-AAAA-NNNNN,Não admite nulos (PK),"NVD API 2.0, campo cve.id"
fato_vulnerabilidade,data_publicacao,data,Data de publicação oficial da CVE,2023-01-01 a 2025-01-01,Não admite nulos,"NVD API 2.0, campo cve.published"
fato_vulnerabilidade,data_ultima_modificacao,data,Data da última atualização registrada,>= data_publicacao,Não admite nulos,"NVD API 2.0, campo cve.lastModified"
fato_vulnerabilidade,status,categórico,Situação de análise da CVE no NVD,"Received, Awaiting Analysis, Analyzed, Modified, Undergoing Analysis, Rejected",Não admite nulos,"NVD API 2.0, campo cve.vulnStatus"
fato_vulnerabilidade,cwe_id,texto (FK),Categoria de fraqueza primária associada,CWE-NNN ou NVD-CWE-noinfo,Não admite nulos (valor padrão quando ausente),"NVD API 2.0, cve.weaknesses[0]; primeira ocorrência quando há múltiplas"
fato_vulnerabilidade,cvss_score,numérico,Nota de severidade CVSS,0.0 a 10.0,Admite nulos — vulnerabilidades ainda não pontuadas,"NVD API 2.0, metrics.cvssMetricV31/V30/V2, em ordem de prioridade"
fato_vulnerabilidade,cvss_severidade,categórico,Classificação textual correspondente ao score,"LOW, MEDIUM, HIGH, CRITICAL","Admite nulos, condicionado a cvss_score",Campo baseSeverity ou calculado por limiar oficial quando ausente (CVSS v2)
fato_vulnerabilidade,cvss_versao,categórico,Versão da métrica CVSS utilizada,"3.1, 3.0, 2.0",Admite nulos,Derivado da métrica efetivamente encontrada
dim_cwe,cwe_id,texto,Categoria de fraqueza (Common Weakness Enumeration),Formato CWE-NNN,Não admite nulos (PK),Valores únicos extraídos da fato
dim_produto,produto_id,numérico,Identificador sequencial gerado,Inteiro > 0,Não admite nulos (PK),Gerado na etapa de modelagem
dim_produto,fornecedor,texto,Fornecedor do produto afetado,Texto normalizado a partir do CPE,Não admite nulos,"NVD API 2.0, criteria (3º segmento)"
dim_produto,produto,texto,Nome do produto afetado,Texto normalizado a partir do CPE,Não admite nulos,"NVD API 2.0, criteria (4º segmento)"
ponte_vulnerabilidade_produto,cve_id / produto_id,texto (FK) / numérico (FK),Associação entre vulnerabilidade e produto afetado,Devem existir nas respectivas tabelas,Não admitem nulos,Derivado na etapa de modelagem
dim_tempo,data,data,Data calendário,Intervalo coberto pela coleta,Não admite nulos (PK),Gerado por date_range
dim_tempo,"ano, mes, trimestre, dia_semana",numérico/categórico,Atributos derivados da data,ano 2023-2025; mes 1-12; trimestre 1-4,Não admitem nulos,Derivado do atributo data via pandas
